seriesID,Versus,teamID,teamName,position,players,kills,deaths,creep_score,gpm,madstone_collected,tower_kills,obs_placed,camps_stacked,runes_grabbed,watchers_taken,smokes_used,roshan_kills,teamfight_participation,stuns,courier_kills,tormentor_kills,firstblood_claimed
1130317,GamerLegion vs Vici Gaming,9964962,GamerLegion,support,Bignum & Speeed,,,,,,,2866.5,3393.0,1621.5,3234.0,2637.0,586.0,2815.83,1019.83,1054.5,0.0,967.0
1130317,GamerLegion vs Vici Gaming,726228,Vici Gaming,core,shiro & Bach,1498.0,2437.5,3613.5,2916.0,481.0,3168.0,,,,,,2344.0,3299.32,931.46,703.0,0.0,0.0
1130317,GamerLegion vs Vici Gaming,726228,Vici Gaming,mid,Xm,1712.0,2925.0,3489.0,2552.0,494.0,352.0,468.0,936.0,3666.0,588.0,0.0,0.0,3441.62,1180.52,0.0,1758.0,3868.0
1130317,GamerLegion vs Vici Gaming,726228,Vici Gaming,support,XinQ & y`,,,,,,,2866.5,1287.0,987.0,3675.0,2637.0,586.0,2897.44,892.17,351.5,439.5,0.0
1130282,GamerLegion vs Xtreme Gaming,9964962,GamerLegion,core,Ghost & Fayde,1498.0,3607.5,2152.5,2607.0,364.0,1760.0,,,,,,1172.0,2832.0,532.68,0.0,439.5,1934.0
1130282,GamerLegion vs Xtreme Gaming,9964962,GamerLegion,mid,RCY,1284.0,3510.0,1779.0,2398.0,273.0,704.0,468.0,1170.0,2397.0,588.0,0.0,0.0,2832.0,829.33,0.0,0.0,0.0
1130282,GamerLegion vs Xtreme Gaming,9964962,GamerLegion,support,Bignum & Speeed,,,,,,,1579.5,819.0,1128.0,2058.0,1611.5,0.0,2743.5,913.16,1406.0,0.0,0.0
1130282,GamerLegion vs Xtreme Gaming,8261500,Xtreme Gaming,core,Ame & Xxs,642.0,2242.5,2170.5,2048.0,383.5,352.0,,,,,,0.0,2442.6,115.01,0.0,0.0,0.0
1130282,GamerLegion vs Xtreme Gaming,8261500,Xtreme Gaming,mid,NothingToSay,749.0,1560.0,1617.0,1742.0,169.0,352.0,234.0,702.0,1128.0,147.0,0.0,0.0,1911.6,230.67,703.0,0.0,0.0
1130282,GamerLegion vs Xtreme Gaming,8261500,Xtreme Gaming,support,fy & xNova,,,,,,,1755.0,1170.0,705.0,2499.0,1172.0,0.0,3044.4,1298.2,703.0,0.0,0.0
1130536,HULIGANI vs OG,10149530,HULIGANI,core,ssnovv1 & Corrupted,695.5,2145.0,3532.5,2614.0,617.5,1584.0,,,,,,2344.0,2615.87,511.67,703.0,439.5,0.0
1130536,HULIGANI vs OG,10149530,HULIGANI,mid,Mirage`雨,1284.0,1950.0,3546.0,2716.0,442.0,1408.0,468.0,936.0,2538.0,147.0,586.0,2344.0,3264.25,1878.68,0.0,879.0,0.0
1130536,HULIGANI vs OG,10149530,HULIGANI,support,sayuw & RESPECT,,,,,,,2398.5,1053.0,1269.0,2719.5,2344.0,0.0,3115.2,1968.69,1054.5,0.0,967.0
1130536,HULIGANI vs OG,2586976,OG,core,Raven & Natsumi,1926.0,3022.5,3553.5,2869.0,559.0,1936.0,,,,,,2930.0,2699.03,477.51,1054.5,1318.5,967.0
1130536,HULIGANI vs OG,2586976,OG,mid,Yopaj-,2782.0,3315.0,2838.0,2620.0,351.0,352.0,585.0,1404.0,4512.0,588.0,0.0,2344.0,2885.53,1359.34,0.0,0.0,0.0
1130536,HULIGANI vs OG,2586976,OG,support,TIMS & skem,,,,,,,2691.0,2223.0,1057.5,4042.5,2637.0,0.0,3125.13,827.16,703.0,439.5,967.0
1130053,HULIGANI vs Team Yandex,10149530,HULIGANI,core,ssnovv1 & Corrupted,642.0,2242.5,2520.0,2329.0,442.0,528.0,,,,,,0.0,1991.25,682.49,0.0,0.0,967.0
1130053,HULIGANI vs Team Yandex,10149530,HULIGANI,mid,Mirage`雨,856.0,2145.0,1698.0,1888.0,195.0,0.0,351.0,468.0,987.0,147.0,0.0,1172.0,2655.0,1745.64,0.0,0.0,0.0
1130053,HULIGANI vs Team Yandex,10149530,HULIGANI,support,sayuw & RESPECT,,,,,,,1638.0,1287.0,846.0,1617.0,1172.0,0.0,3407.25,715.65,703.0,0.0,0.0
1130053,HULIGANI vs Team Yandex,9823272,Team Yandex,core,医者watson` & DM,1230.5,3315.0,2571.0,2957.0,396.5,2464.0,,,,,,586.0,2339.48,836.94,703.0,439.5,0.0
1130053,HULIGANI vs Team Yandex,9823272,Team Yandex,mid,CHIRA_JUNIOR,2461.0,3510.0,1431.0,2192.0,91.0,1056.0,468.0,0.0,2115.0,441.0,293.0,1172.0,3058.67,358.0,703.0,0.0,0.0
1130053,HULIGANI vs Team Yandex,9823272,Team Yandex,support,Maladych & Saksa,,,,,,,1813.5,1287.0,1057.5,2058.0,879.0,586.0,2538.17,175.16,1406.0,0.0,0.0
1130279,HULIGANI vs Vici Gaming,10149530,HULIGANI,core,ssnovv1 & Corrupted,963.0,2535.0,3600.0,2949.0,526.5,2464.0,,,,,,2344.0,3519.77,1169.67,351.5,1318.5,967.0
1130279,HULIGANI vs Vici Gaming,10149530,HULIGANI,mid,Mirage`雨,1819.0,2535.0,2820.0,2454.0,494.0,0.0,468.0,702.0,4512.0,1176.0,293.0,0.0,3327.6,403.52,703.0,0.0,0.0
1130279,HULIGANI vs Vici Gaming,10149530,HULIGANI,support,sayuw & RESPECT,,,,,,,2281.5,3159.0,705.0,2866.5,2197.5,586.0,3312.43,711.83,1054.5,0.0,0.0
1130279,HULIGANI vs Vici Gaming,726228,Vici Gaming,core,shiro & Bach,1284.0,2730.0,3564.0,2840.0,507.0,1936.0,,,,,,1172.0,2775.36,621.41,351.5,1318.5,0.0
1130279,HULIGANI vs Vici Gaming,726228,Vici Gaming,mid,Xm,1498.0,3120.0,3270.0,2782.0,390.0,704.0,468.0,468.0,3525.0,1323.0,0.0,0.0,3122.28,612.7,703.0,0.0,0.0
1130279,HULIGANI vs Vici Gaming,726228,Vici Gaming,support,XinQ & y`,,,,,,,2398.5,1521.0,1269.0,4557.0,2490.5,1758.0,3338.22,2433.49,1054.5,0.0,1934.0
1130324,HULIGANI vs Xtreme Gaming,10149530,HULIGANI,core,ssnovv1 & Corrupted,802.5,2437.5,3240.0,2530.0,487.5,880.0,,,,,,0.0,2241.43,238.17,0.0,439.5,0.0
1130324,HULIGANI vs Xtreme Gaming,10149530,HULIGANI,mid,Mirage`雨,749.0,2535.0,2466.0,2142.0,377.0,704.0,468.0,1404.0,2961.0,441.0,879.0,1172.0,2695.85,856.34,0.0,0.0,0.0
1130324,HULIGANI vs Xtreme Gaming,10149530,HULIGANI,support,sayuw & RESPECT,,,,,,,2047.5,1404.0,564.0,2646.0,1318.5,586.0,2435.45,463.58,703.0,0.0,0.0
